codigo,region,distrito,municipioEscolar,nombreEscuela,director,nivel,grados,zona,estatus,telefono,direccionFisica,direccionFisicaPueblo,direccionFisicaEstado,zipCode,latitud,longitud,puntuacion,starsEscuela,year,ETLLastUpdate,ETLCreatedDate
50740,Ponce,YAUCO,Guánica,Agripina Seda,*HILDA IRIZARRY MONTALVO,Primario,6 7 8      EEI,URBANA,ABIERTA,821-2570,45 CALLE 13 DE MARZO,Guánica,PR,6530000,17.9726,-66.90617,0.2111283486355595,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
66019,San Juan,CAROLINA,Carolina II,Agustín Cabrera,GISELA ACEVEDO,Primario,6 7 8      EEI,URBANA,ABIERTA,768-1725,URB V.CAROLINA,Carolina,PR,9880000,18.39549,-65.96069,0.2801196419353531,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
62984,San Juan,SAN JUAN II,San Juan IV,Albert Einstein,CARMEN MALDONADO,Secundario,9 10 11 12   EES,URBANA,ABIERTA,727-5525,CALLE HAYDEE REXACH ESQ BORINQUEN,San Juan,PR,9150000,18.4331,-66.04607,0.17242636657524832,1,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
14340,Bayamón,OROCOVIS,Orocovis,Alberto Meléndez,GISELA PADILLA RIVERA,Secundario,9101112,URBANA,ABIERTA,867-3353,CALLE JUAN D RIVERA DE SANTIAGO,Orocovis,PR,00720-0000,18.22596,-66.39266,0.42912756069817987,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71449,Bayamón,TOA BAJA,Toa Alta,Alejandro Jr. Cruz,MARIA D. PABON NARVAEZ,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,870-1662,CARR 165 KM4 BO GALATEO,Toa Alta,PR,9540000,18.36625,-66.25677,0.7251192071589002,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
63172,San Juan,SAN JUAN II,San Juan IV,Alejandro Tapia y Rivera,SHEILA GAGLIANI RIVERA,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,726-0100,VILLA PALMERA 369 CALLE BELEVUE,San Juan,PR,9150000,18.43826,-66.04516,0.5351741278778605,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
31542,Humacao,YABUCOA,Maunabo,Alfonso Casta Martínez,JUANA J. HERNÁNDEZ,Secundario,9101112,URBANA,ABIERTA,861-2300,AVE CALIMANO,Maunabo,PR,7070000,18.00734,-65.89685,0.3080729664058647,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
32979,Humacao,LAS PIEDRAS,Juncos,Alfonso Díaz Lebrón,SANDRA JIMENEZ CUEVAS,Primario,678,URBANA,ABIERTA,(787) 734-6806,CARR 31 SALIDA HACIA NAGUABO,Juncos,PR,7770000,18.22674,-65.91815,0.23657372445968966,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
20065,Caguas,CIDRA,Aguas Buenas,Alfonso López O'Neill,WANDA E. VELÁZQUEZ SANTIAGO,Primario,K 1 2 3 4 5,RURAL,ABIERTA,747-5895,CARR 797 KM 2 HM 4 BO. JAGUEYES ABAJO,Aguas Buenas,PR,7030000,18.28765,-66.07612,0.7596329503765167,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
53330,Ponce,YAUCO,Yauco,Almacigo Alto II,*AILEEN ACOSTA RAMÍREZ,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,856-2141,CARR 371 BO ALMACIGO ALTO,Yauco,PR,6980000,18.06108,-66.88103,0.766564473028781,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71530,Bayamón,TOA BAJA,Toa Baja,Altinencia Valle,JOSEFINA MARRERO GONZALEZ,Primario,K 1 2 3 4 5 6 7 8     EEE,RURAL,ABIERTA,794-1460,BO CAMPANILLA CALLE PALMA 2,Toa Baja,PR,9510000,18.42334,-66.23427,0.5101977852729869,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
17467,Arecibo,CAMUY,Camuy,Amalia López de Ávila (Nueva),MARISOL HERNÁNDEZ HERMINA,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,898-4830,"CARR. 119 KM 5.6 INT.BO PUENTE, SECTOR ZARZA",Camuy,PR,6270000,18.46785,-66.84433,0.6016446890407015,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
62661,San Juan,SAN JUAN II,San Juan V,Amalia Marín,JOSE PEREZ BIDO,Todos los niveles,K 1 2 3 4 5 6 7 8    12 EEE EEI,URBANA,ABIERTA,763-5218,CALLE PEÑASCO FINAL PARADISE HILLS,San Juan,PR,9240000,18.37701,-66.06276,0.2163627095924176,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
62679,San Juan,SAN JUAN II,San Juan III,Amalia Marín,KAREN GARCIA EMANUELLI,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,764-0093,"CALLE GUARACANAL, BO. VENEZUELA",San Juan,PR,9260000,18.39313,-66.05409,0.7611317571046218,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
26013,Caguas,CIDRA,Cidra,Ana J. Candelas,DAISY FELICIANO ACEVEDO,Secundario,9101112,URBANA,ABIERTA,739-8070,CARR 171 KM 0 HM 3 BO SUD,Cidra,PR,7390000,18.17064,-66.16219,0.4959941170123316,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
40493,Mayagüez,AGUADILLA,Aguadilla,Ana María Javariz,JOSELITO JIMENEZ RODRIGUEZ,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,891-2260,CARR.107 URB. EL PRADO,Aguadilla,PR,6030000,18.45022,-67.14958,0.7929348901908262,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
30270,Humacao,LAS PIEDRAS,Humacao,Ana Roque de Duprey,CONCHITA SANTIAGO ALVAREZ,Secundario,9101112,URBANA,ABIERTA,852-1115 - 852-0820,CALLE DR VIDAL CARR #3; AL LADO DE SANTOS TEXACO,Humacao,PR,7910000,18.14917,-65.82054,0.4251665982226444,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
52985,Ponce,SANTA ISABEL,Santa Isabel,Ana Valldejuly (Jauca),MARCELINO BURGOS SÁLAMO,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,845-6147,CALLE LUIS MUÑOZ RIVERA CARR 1 BO JAUCA,Santa Isabel,PR,7570000,17.9685,-66.36765,0.863641951389988,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
70672,Bayamón,BAYAMON,Bayamón III,Andrés C. González,MARÍA M. RIVERA SANTOS,Primario,K 1 2 3 4 5 6 7 8      EEI,RURAL,ABIERTA,797-6580,CARR 829 KM 5 HM 5 BO SANTA  OYALA,Bayamón,PR,9570000,18.31756,-66.1648,0.29063569179264986,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
54940,Ponce,PONCE,Ponce II,Andrés Grillasca Salas,ELBA VÉLEZ PÉREZ,Primario,K 1 2 3 4 5,URBANA,ABIERTA,840-7115,AVE LAS AMERICAS URB CONSTANCIA,Ponce,PR,7310000,18.00744,-66.60161,0.55755388063496,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
69039,San Juan,GUAYNABO,Trujillo Alto,Andrés Valcárcel,RAFAEL RODRIGUEZ ADROVER,Primario,6 7 8      EEI,URBANA,ABIERTA,761-1060,CALLE ANDRES VALCARCEL FINAL,Trujillo Alto,PR,9760000,18.35289,-66.0064,0.2839832304585005,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
17186,Bayamón,OROCOVIS,Morovis,Ángel G. Quintero,WENDY MIRANDA TORRES,Primario,6 7 8      EEI,RURAL,ABIERTA,862-1716,CARR 633 KM 4 HM 7 BO BARAHONA,Morovis,PR,00687-0000,18.35816,-66.44581,0.6710727681513486,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
61853,San Juan,CAROLINA,Carolina I,Ángel P. Millán Rohena,MADELINE SUAREZ DEL VALLE,Todos los niveles,6 7 8 9 10 11 12 EEE,RURAL,ABIERTA,276-0120,CAR 857 KM 0.3 BO CANOVANILLAS,Carolina,PR,9860000,18.36921,-65.93054,0.26751231562473154,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
12740,Bayamón,OROCOVIS,Orocovis,Ángel Rafael Díaz Colón,ROSA SOTO SANTIAGO,Primario,K 1 2 3 4 5 6 7 8     EEE EEI,RURAL,ABIERTA,867-4686,CARR 566 KM 2 HM I BO SALTOS,Orocovis,PR,00720-0000,18.20418,-66.42229,0.9323759717562515,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71886,Arecibo,VEGA ALTA,Vega Baja,Ángel Sandín Martínez,MILDRED MOLINA IRIZARRY,Primario,6 7 8      EEI,URBANA,ABIERTA,807-0810,4 CALLE JULIO OTERO ESQ JOSE ACOSTA,Vega Baja,PR,6930000,18.44348,-66.38388,0.16667688743757297,1,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
55483,Ponce,PONCE,Ponce II,Angela Cordero Bernard,SARAH FRANCESCHINI,Primario,PK K 1 2 3 4 5,URBANA,ABIERTA,844-4020,CALLE SOLIMAR URB VILLA DEL CARMEN,Ponce,PR,7310000,17.98069,-66.60722,0.6579376200778484,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
10637,Arecibo,ARECIBO,Arecibo I,Angélica Gómez de Betancourt,CARMEN I. BRACERO GONZÁLEZ,Primario,K 1 2 3 4 5 6 7 8     EEE,URBANA,ABIERTA,878-1675,CARR 681 HM 3 BO ISLOTE,Arecibo,PR,6120000,18.47902,-66.69367,0.577772048550768,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
51342,Ponce,UTUADO,Jayuya,Angelica Toro (Nueva),OLGA L. GARCIA PEREZ,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,828-0330,48 CALLE CEMENTERIO,Jayuya,PR,6640000,18.22162,-66.59433,0.6445084633899665,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
17772,Arecibo,ARECIBO,Hatillo,Aníbal Reyes Belén,HILDA L ROMERO PEREZ,Secundario,9101112,URBANA,ABIERTA,820-4022,CARR 130 K12 4 BO CAMPO ALEGRE,Hatillo,PR,6590000,18.36489,-66.80053,0.5568570166960211,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
40139,Mayagüez,AGUADILLA,Aguada,Anselmo Villarrubia,RAMONITA ECHANDY LAVERGNE,Primario,PK K 1 2 3 4 5,RURAL,ABIERTA,868-8735,RAMAL 4416 KM 1.8 BO MALPASO,Aguada,PR,6020000,18.36258,-67.17037,0.7731833132596123,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
33647,Humacao,CANOVANAS,Río Grande,Antera Rosado Fuentes,ONEIDA RAMIREZ IBAÑEZ,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,887-2051,CALLE 19 URB VILLAS DE RIO GRANDE,Río Grande,PR,7450000,18.38239,-65.8382,0.9059029664636611,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
61580,San Juan,SAN JUAN I,San Juan I,Antonio B. Caimary,SANTA SANTANA,Primario,K 1 2 3 4 5,URBANA,ABIERTA,726-6783,AVE EDUARDO CONDE ESQ TAPIA VILLA PALMERAS,San Juan,PR,9150000,18.4424,-66.05438,0.6004538190201741,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
46672,Mayagüez,AGUADILLA,Aguadilla,Antonio Badillo Hernández,OMAYRA FIGUEROA MULERO,Primario,K 1 2 3 4 5 6 7 8     EEE,RURAL,ABIERTA,890-3350,CARR. 459 KM. 7.04 BO. MONTAÑA,Aguadilla,PR,6030000,18.48796,-67.09781,0.4023156811989538,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
26492,Caguas,GURABO,Caguas I,Antonio Domínguez Nieves,*LUIS OTERO DIAZ,Todos los niveles,6 7 8 9 10 11 12  EEI EES,RURAL,ABIERTA,747-2026,BO RIO CAÑAS CALLE 1 SECT REPARTO SOLANO,Caguas,PR,7250000,18.28626,-66.04754,0.2126627443685032,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
28522,Humacao,YABUCOA,San Lorenzo,Antonio Fernós Isern,RAQUEL GUZMÁN CENTENO,Secundario,9101112,RURAL,ABIERTA,736-1823,CARR 181 KM 32.5 BO QUEBRADA,San Lorenzo,PR,7540000,18.19892,-65.96228,0.7954434476651616,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
15438,Mayagüez,SAN SEBASTIAN,Isabela,Antonio Geigel Paredes,HÉCTOR HERNÁNDEZ CARRERO,Primario,K 1 2 3 4 5        EEE,RURAL,ABIERTA,872-1942,CARR 112 KM.3.5 BO. MORA,Isabela,PR,6620000,18.46913,-67.03173,0.7168665286791226,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
40527,Mayagüez,AGUADILLA,Añasco,Antonio González Suárez,Rosa N. Ramos Méndez**,Primario,K 1 2 3 4 5,URBANA,ABIERTA,826-3625,CARR. 402  KM 6 BO DAGUEY,Añasco,PR,6100000,18.28729,-67.13959,0.8456092446956889,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
55871,Ponce,PONCE,Ponce I,Antonio Paoli,FERNANDO GHIGLIOTTI,Primario,6 7 8      EEI,URBANA,ABIERTA,844-0615,CALLE REINA FINAL,Ponce,PR,7310000,18.01129,-66.62685,0.21208741261623784,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71738,Arecibo,VEGA ALTA,Vega Alta,Antonio Paoli,David Rivera Morales**,Primario,PK K 1 2 3 4 5,URBANA,ABIERTA,883-4945,URB SANTA RITA CALLE 9 V. ALTA,Vega Alta,PR,9620000,18.41179,-66.31669,0.8661226014974089,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
31054,Humacao,CANOVANAS,Canóvanas,Antonio R. Barceló,OMAYRA TORRES RUIZ,Primario,K 1 2 3 4 5 6 7 8     EEE EEI,URBANA,ABIERTA,876-4055,CALLE PALMER FINAL,Canóvanas,PR,7290000,18.37867,-65.90364,0.28648553907276675,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
11023,Arecibo,CAMUY,Camuy,Antonio Reyes,MILDRED MIELES SILLIART,Primario,6 7 8      EEI,RURAL,ABIERTA,820-1472,CARR 486 KM 2 HM 6 BO ZANJA,Camuy,PR,6270000,18.45143,-66.85406,0.4733568301444436,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
35774,Humacao,LAS PIEDRAS,Humacao,Antonio Rosa Guzmán (Nueva),GRISZELIDETH ALVAREZ SOTO,Primario,PK K 1 2 3 4 5,RURAL,ABIERTA,(787) 852-3650,CARR 909 KM 2 HM 2 BO MARIANA,Humacao,PR,7910000,18.13437,-65.84329,0.8258471658913975,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
20776,Caguas,GURABO,Caguas II,Antonio S. Pedreira (Pre-Tec),YOVANNA GONZALEZ TORRES,Primario,6 7 8      EEI,URBANA,ABIERTA,743-4868,CALLE 4 URB. VILLA DEL CARMEN,Caguas,PR,7250000,18.2148,-66.04121,0.3614763700532179,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
62422,San Juan,SAN JUAN II,San Juan III,Antonio Sarriera Egozcue,Trinia Rivera Morales**,Primario,K 1 2 3 4 5 6 7 8     EEE,URBANA,ABIERTA,769-7415,CALLE CARMEN HERNANDEZ URB EL COMANDANTE,San Juan,PR,9240000,18.40727,-65.99524,0.3220216219896511,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
13342,Ponce,UTUADO,Utuado,Antonio Tulla Torres,SAÚL VARGAS RIVERA,Primario,K 1 2 3 4 5 6 7 8     EEE,RURAL,ABIERTA,894-0229,CARR 140 KM 5 HM 6 BO MAMEYES,Utuado,PR,6410000,18.29906,-66.60231,0.6015004233190614,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
30148,Humacao,FAJARDO,Fajardo,Antonio Valero Bernabé,MYRONER CORREA CORREA,Primario,6 7 8      EEI,URBANA,ABIERTA,863-0024,AVE GENERAL VALERO,Fajardo,PR,7380000,18.33243,-65.65245,0.16820479922796763,1,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
12187,Arecibo,MANATI,Manatí,Antonio Vélez Alvarado,ESTHER VÉLEZ BARRETO,Primario,PK K 1 2 3 4 5        EEE,RURAL,ABIERTA,854-4160,CARR 2 KM 46 HM 8 BO CAMPO ALEGRE,Manatí,PR,6740000,18.435,-66.46613,0.8224865504521208,5,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71761,Arecibo,VEGA ALTA,Vega Alta,Apolo San Antonio,Zoraida Morales Rosado**,Primario,6 7 8      EEI,URBANA,ABIERTA,883-4878,CALLE LUIS MUÑOZ RIVERA,Vega Alta,PR,9620000,18.41254,-66.33316,0.289748684212497,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
40147,Mayagüez,AGUADILLA,Aguada,Aquilino Cabán,MANUEL ÁNGEL CRESPO SANTONI,Primario,PK K 1 2 3 4 5 6 7 8     EEE,RURAL,ABIERTA,868-0373,CARR 4417 KM 0 HM 8 BO MAMEY,Aguada,PR,6020000,18.37448,-67.14525,0.6033673663060156,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
51185,Ponce,YAUCO,Guayanilla,Arístides Cales Quirós,RAYMOND MUÑOZ CEDEÑO,Primario,K 1 2 3 4 5 6 7 8      EEI,URBANA,ABIERTA,835-2985,CALLE LUIS MUÑOZ RIVERA INTERIOR,Guayanilla,PR,6560000,18.01826,-66.7921,0.41588357819860533,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
53363,Ponce,YAUCO,Yauco,Arturo Lluberas,ROSA VÁZQUEZ MERCADO,Primario,K 1 2 3 4 5,RURAL,ABIERTA,856-0613,CARR 376 BO ALMACIGO BAJO,Yauco,PR,6980000,18.04173,-66.86206,0.7194248449867052,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
57125,Ponce,YAUCO,Guayanilla,Asunción Rodríguez de Sala,DELIZ MURILLO RIVERA,Secundario,9 10 11 12   EES,URBANA,ABIERTA,835-2030,CARR 127 BO QUEBRADA,Guayanilla,PR,6560000,18.03217,-66.8009,0.5103998445262301,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
57620,Ponce,YAUCO,Guánica,Áurea E. Quiles Claudio,MARÍA DE LOS A. ORTIZ,Secundario,9101112,RURAL,ABIERTA,821-2800,CARR OCHOA 333 KM 5,Guánica,PR,6530000,17.97548,-66.90477,0.3505221357702084,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
57018,Ponce,PONCE,Ponce II,Áurea E. Rivera Collazo,AIXA ROSARIO,Primario,K 1 2 3 4 5,URBANA,ABIERTA,841-0328,P33 CALLE 7 URB EL MADRIGAL,Ponce,PR,7310000,18.03692,-66.63862,0.5267606109196085,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
43505,Mayagüez,SAN SEBASTIAN,San Sebastían,Áurea Fuentes Méndez,WILLIAM FUENTES TORRES,Primario,K 1 2 3 4 5,RURAL,ABIERTA,896-4100,CARR 435 KM 2 HM 3,San Sebastían,PR,6850000,18.30833,-66.98146,0.36847855597305457,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
48025,Mayagüez,SAN SEBASTIAN,San Sebastían,Aurora Méndez Charneco,JUAN F. RIVERA SANTIAGO,Primario,K 1 2 3 4 5        EEE,URBANA,ABIERTA,896-1072,CALLE PEDRO ALBISUS CAMPOS,San Sebastían,PR,6850000,18.33826,-66.99505,0.49599519495723365,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
35626,Humacao,LAS PIEDRAS,Humacao,Avelino Peña Reyes,AIDA GONZALEZ ROIG,Educación especial,EEI EES,URBANA,ABIERTA,285-6542,CALLE DR VIDAL #3,Humacao,PR,7910000,18.14894,-65.82274,0.42241616767678636,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
12435,Bayamón,OROCOVIS,Morovis,Barahona (Elemental),YOLANDA I. GARCÍA LUGO,Primario,PK K 1 2 3 4 5        EEE,RURAL,ABIERTA,862-2010,CARR 33 KM 4 HM O BO BARAHONA,Morovis,PR,00687-0000,18.35501,-66.44233,0.7582845892930078,4,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
43273,Mayagüez,CABO ROJO,San Germán,Bartolomé de las Casas,MAGALY SANTIAGO MARTÍNEZ,Primario,PK K 1 2 3 4 5 6,RURAL,ABIERTA,892-5756,CARR 362 KM 4 HM 3 BO GUAMA,San Germán,PR,6830000,18.09406,-67.01142,0.5592531203259201,3,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
71654,Bayamón,TOA BAJA,Toa Baja,Basilio Milán Hernández,DUHAMEL ADAMES RODRIGUEZ,Primario,6 7 8      EEI,URBANA,ABIERTA,795-6570,AVE JOSE DE DIEGO ESQ SABANA SECA,Toa Baja,PR,9500000,18.43839,-66.17358,0.22740099969800712,2,2020-2021,2022-02-23T15:53:26.367Z,2022-02-23T15:53:26.367Z
